ANO_ELEICAO,SG_UE,SQ_CANDIDATO,NR_TURNO,QT_VOTOS_NOMINAIS
2018,GO,90000602017,1,136
2018,GO,90000602018,1,276
2018,GO,90000602019,1,113
2018,GO,90000602020,1,8449
2018,GO,90000602021,1,45833
2018,GO,90000602023,1,268
2018,GO,90000602025,1,89
2018,GO,90000602026,1,113
2018,GO,90000602027,1,103
2018,GO,90000602028,1,394
2018,GO,90000602029,1,109
2018,GO,90000602030,1,58
2018,GO,90000602031,1,264
2018,GO,90000602032,1,383
2018,GO,90000602033,1,54
2018,GO,90000602034,1,125
2018,GO,90000602035,1,124
2018,GO,90000602036,1,189
2018,GO,90000602037,1,94
2018,GO,90000602038,1,92
2018,GO,90000602039,1,26020
2018,GO,90000602040,1,4469
2018,GO,90000602042,1,308
2018,GO,90000602043,1,5434
2018,GO,90000602044,1,92
2018,GO,90000602045,1,319
2018,GO,90000602046,1,413
2018,GO,90000602047,1,3922
2018,GO,90000602048,1,812
2018,GO,90000602049,1,2169
2018,GO,90000602050,1,1230
2018,GO,90000602053,1,300
2018,GO,90000602055,1,266
2018,GO,90000602058,1,144
2018,GO,90000602059,1,99
2018,GO,90000602060,1,230
2018,GO,90000602061,1,2842
2018,GO,90000602063,1,66
2018,GO,90000602064,1,555
2018,GO,90000602502,1,5412
2018,GO,90000602503,1,6374
2018,GO,90000602504,1,3776
2018,GO,90000602505,1,477
2018,GO,90000602506,1,1085
2018,GO,90000602507,1,22176
2018,GO,90000602524,1,362
2018,GO,90000602525,1,129
2018,GO,90000602526,1,2019
2018,GO,90000602527,1,283
2018,GO,90000602528,1,902
2018,GO,90000602529,1,5145
2018,GO,90000602530,1,107
2018,GO,90000602531,1,1400
2018,GO,90000602532,1,67
2018,GO,90000602533,1,10922
2018,GO,90000602534,1,2850
2018,GO,90000602535,1,657
2018,GO,90000602536,1,12958
2018,GO,90000602537,1,5609
2018,GO,90000602538,1,265
2018,GO,90000602539,1,707
2018,GO,90000602540,1,183
2018,GO,90000602541,1,121
2018,GO,90000602542,1,156
2018,GO,90000602543,1,2567
2018,GO,90000602544,1,1740
2018,GO,90000602545,1,7937
2018,GO,90000602546,1,88
2018,GO,90000602547,1,14561
2018,GO,90000602548,1,482
2018,GO,90000602549,1,39
2018,GO,90000602550,1,404
2018,GO,90000602551,1,10648
2018,GO,90000602552,1,53
2018,GO,90000602554,1,218
2018,GO,90000602555,1,150
2018,GO,90000602556,1,1448
2018,GO,90000602557,1,3438
2018,GO,90000602558,1,469
2018,GO,90000602559,1,4662
2018,GO,90000602560,1,10358
2018,GO,90000602561,1,8595
2018,GO,90000602562,1,115
2018,GO,90000602564,1,1426
2018,GO,90000602565,1,10732
2018,GO,90000602566,1,138
2018,GO,90000602567,1,211
2018,GO,90000602568,1,2149
2018,GO,90000602569,1,22
2018,GO,90000602570,1,108
2018,GO,90000602571,1,144
2018,GO,90000602572,1,16486
2018,GO,90000602573,1,25
2018,GO,90000602574,1,1173
2018,GO,90000602575,1,583
2018,GO,90000604989,1,30401
2018,GO,90000604990,1,2516
2018,GO,90000604991,1,759
2018,GO,90000604992,1,1865
2018,GO,90000604993,1,254
2018,GO,90000604994,1,213
2018,GO,90000604995,1,2721
2018,GO,90000604996,1,1982
2018,GO,90000604997,1,2957
2018,GO,90000604998,1,3362
2018,GO,90000604999,1,12038
2018,GO,90000605000,1,933
2018,GO,90000605001,1,155
2018,GO,90000605002,1,368
2018,GO,90000605003,1,532
2018,GO,90000605004,1,5191
2018,GO,90000605005,1,19098
2018,GO,90000605006,1,1920
2018,GO,90000605007,1,31800
2018,GO,90000605008,1,1455
2018,GO,90000605009,1,0
2018,GO,90000605010,1,2476
2018,GO,90000605011,1,9393
2018,GO,90000605012,1,126
2018,GO,90000605014,1,185
2018,GO,90000607642,1,8130
2018,GO,90000607643,1,7350
2018,GO,90000607644,1,8223
2018,GO,90000607645,1,4102
2018,GO,90000607646,1,0
2018,GO,90000607647,1,26
2018,GO,90000607648,1,33
2018,GO,90000607649,1,7263
2018,GO,90000607650,1,3641
2018,GO,90000607651,1,4769
2018,GO,90000607652,1,18579
2018,GO,90000607653,1,463
2018,GO,90000607654,1,2040
2018,GO,90000607655,1,2201
2018,GO,90000607656,1,37
2018,GO,90000607658,1,8742
2018,GO,90000607659,1,1879
2018,GO,90000607660,1,0
2018,GO,90000607661,1,141
2018,GO,90000607662,1,341
2018,GO,90000607663,1,274
2018,GO,90000607664,1,68
2018,GO,90000607666,1,586
2018,GO,90000607667,1,27763
2018,GO,90000607668,1,16975
2018,GO,90000607670,1,97
2018,GO,90000607671,1,17698
2018,GO,90000607673,1,674
2018,GO,90000607674,1,1677
2018,GO,90000607675,1,4959
2018,GO,90000607676,1,8659
2018,GO,90000607677,1,4686
2018,GO,90000607678,1,979
2018,GO,90000607679,1,3479
2018,GO,90000607680,1,497
2018,GO,90000607681,1,5648
2018,GO,90000607682,1,174
2018,GO,90000607683,1,35
2018,GO,90000607684,1,84
2018,GO,90000607685,1,1553
2018,GO,90000607686,1,4360
2018,GO,90000607687,1,745
2018,GO,90000607688,1,56
2018,GO,90000607689,1,980
2018,GO,90000607690,1,5
2018,GO,90000607691,1,102
2018,GO,90000608249,1,3095
2018,GO,90000608250,1,11521
2018,GO,90000608251,1,6776
2018,GO,90000608252,1,23788
2018,GO,90000608253,1,4996
2018,GO,90000608254,1,2633
2018,GO,90000608255,1,2213
2018,GO,90000608256,1,2214
2018,GO,90000608257,1,6696
2018,GO,90000608258,1,1167
2018,GO,90000608259,1,828
2018,GO,90000608260,1,5555
2018,GO,90000608261,1,7321
2018,GO,90000608262,1,17029
2018,GO,90000608263,1,427
2018,GO,90000608264,1,50
2018,GO,90000608265,1,963
2018,GO,90000608266,1,2216
2018,GO,90000608267,1,24963
2018,GO,90000608268,1,36683
2018,GO,90000608269,1,1209
2018,GO,90000608270,1,37048
2018,GO,90000608271,1,3626
