SG_PARTIDO,SG_UF,NM_URNA_CANDIDATO,NM_CANDIDATO,ELEITO_ANTERIOR,DS_GENERO,DS_COR_RACA,receita_total,QT_VOTOS_NOMINAIS,POSICAO,QT_VAGAS,ELEITO_REAL,ELEITO_DISTRITAO,DS_SIT_TOT_TURNO
PDT,RJ,CHICO D ANGELO,FRANCISCO JOSE D ANGELO PINTO,REELEITO,MASCULINO,BRANCA,609701.48,26417,68,46,1,0,ELEITO POR QP
PL,MA,JOSIMAR MARANHÃOZINHO,JOSIMAR CUNHA RODRIGUES,1a ELEIÇÃO,MASCULINO,PARDA,2494226.4,195768,1,18,1,1,ELEITO POR QP
PSB,MG,EMIDINHO MADEIRA,EMIDIO ALVES MADEIRA JUNIOR,1a ELEIÇÃO,MASCULINO,BRANCA,1358922.61,103533,23,53,1,1,ELEITO POR QP
PSDB,SP,SAMUEL MOREIRA,SAMUEL MOREIRA DA SILVA JÚNIOR,REELEITO,MASCULINO,BRANCA,1656350.49,103215,38,70,1,1,ELEITO POR QP
PL,AP,VINÍCIUS,VINÍCIUS DE AZEVEDO GURGEL,REELEITO,MASCULINO,BRANCA,1650000.0,18818,3,8,1,1,ELEITO POR QP
PT,SE,JOAO DANIEL,JOAO SOMARIVA DANIEL,REELEITO,MASCULINO,BRANCA,1075358.84,59933,5,8,1,1,ELEITO POR MÉDIA
PL,AM,MARCELO RAMOS,MARCELO RAMOS RODRIGUES,1a ELEIÇÃO,MASCULINO,PARDA,1428926.94,106805,6,8,1,1,ELEITO POR MÉDIA
Progressistas,BA,CACÁ LEÃO,CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,REELEITO,MASCULINO,BRANCA,2268584.0,106592,16,39,1,1,ELEITO POR QP
PCdoB,AC,PERPETUA ALMEIDA ,MARIA PERPETUA DE ALMEIDA ,1a ELEIÇÃO,FEMININO,BRANCA,907310.35,18374,7,8,1,1,ELEITO POR QP
PT,SP,ALENCAR SANTANA,ALENCAR SANTANA BRAGA,1a ELEIÇÃO,MASCULINO,BRANCA,684428.1200000001,67892,71,70,1,0,ELEITO POR MÉDIA
PTB,RS,MARCELO MORAES,MARCELO PIRES MORAES,1a ELEIÇÃO,MASCULINO,BRANCA,1276400.0,69904,28,31,1,1,ELEITO POR MÉDIA
PSDB,PB,EDNA HENRIQUE,EDNACE ALVES SILVESTRE HENRIQUE,1a ELEIÇÃO,FEMININO,BRANCA,834073.34,69935,11,12,1,1,ELEITO POR QP
Progressistas,PB,AGUINALDO RIBEIRO,AGUINALDO VELLOSO BORGES RIBEIRO,REELEITO,MASCULINO,BRANCA,1620539.02,120220,2,12,1,1,ELEITO POR QP
DEM,GO,ZÉ MARIO,JOSE MARIO SCHREINER,1a ELEIÇÃO,MASCULINO,BRANCA,947719.78,96188,7,17,1,1,ELEITO POR QP
PHS,BA,PASTOR ABILIO SANTANA,JOSE ABILIO SILVA DE SANTANA,1a ELEIÇÃO,MASCULINO,PRETA,37750.0,50345,47,39,1,0,ELEITO POR QP
Progressistas,DF,CELINA LEÃO,CELINA LEAO HIZIM,1a ELEIÇÃO,FEMININO,BRANCA,2220986.25,31610,9,8,1,0,ELEITO POR MÉDIA
PSL,RS,BIBO NUNES,ALCIBIO MESQUITA BIBO NUNES,1a ELEIÇÃO,MASCULINO,BRANCA,237216.9,91664,21,31,1,1,ELEITO POR QP
PSD,PA,JOAQUIM PASSARINHO,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,REELEITO,MASCULINO,PARDA,284946.5,95582,16,17,1,1,ELEITO POR QP
DEM,SP,MISSIONÁRIO JOSÉ OLIMPIO,JOSÉ OLIMPIO SILVEIRA MORAES,REELEITO,MASCULINO,BRANCA,716300.0,83400,55,70,0,1,SUPLENTE
PSL,RJ,LUIZ LIMA ,LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,1a ELEIÇÃO,MASCULINO,PARDA,263661.79,115119,8,46,1,1,ELEITO POR QP
PDT,PR,GUSTAVO FRUET,GUSTAVO BONATO FRUET,1a ELEIÇÃO,MASCULINO,BRANCA,581116.21,113252,8,30,1,1,ELEITO POR QP
Avante,RJ,CHIQUINHO BRAZÃO,JOÃO FRANCISCO INÁCIO BRAZÃO,1a ELEIÇÃO,MASCULINO,BRANCA,461146.0,25817,71,46,1,0,ELEITO POR MÉDIA
PSOL,RJ,MARCELO FREIXO,MARCELO RIBEIRO FREIXO,1a ELEIÇÃO,MASCULINO,BRANCA,528414.2100000001,342491,2,46,1,1,ELEITO POR QP
PSL,RN,GENERAL GIRAO,ELIESER GIRAO MONTEIRO FILHO,1a ELEIÇÃO,MASCULINO,BRANCA,33747.0,81640,6,8,1,1,ELEITO POR QP
PTB,RS,RONALDO NOGUEIRA,RONALDO NOGUEIRA DE OLIVEIRA,REELEITO,MASCULINO,BRANCA,932945.0,62119,31,31,0,1,SUPLENTE
Avante,MG,LUIS TIBE,LUIS HENRIQUE DE OLIVEIRA RESENDE,REELEITO,MASCULINO,BRANCA,2280696.9600000004,50474,63,53,1,0,ELEITO POR QP
PT,RN,NATALIA BONAVIDES,NATALIA BASTOS BONAVIDES,1a ELEIÇÃO,FEMININO,BRANCA,571522.1000000001,112998,2,8,1,1,ELEITO POR QP
PT,RS,PAULO PIMENTA,PAULO ROBERTO SEVERO PIMENTA,REELEITO,MASCULINO,BRANCA,1008481.79,133086,4,31,1,1,ELEITO POR QP
Progressistas,RR,DR. HIRAN GONÇALVES,HIRAN MANUEL GONÇALVES DA SILVA,REELEITO,MASCULINO,PARDA,2090116.5599999987,13299,3,8,1,1,ELEITO POR MÉDIA
PSB,BA,MARCELO NILO,JOSÉ MARCELO DO NASCIMENTO NILO,1a ELEIÇÃO,MASCULINO,BRANCA,457910.0,115277,14,39,1,1,ELEITO POR QP
PSB,SP,JEFFERSON CAMPOS,JEFFERSON ALVES DE CAMPOS,REELEITO,MASCULINO,BRANCA,1342996.0,99974,41,70,1,1,ELEITO POR QP
Republicanos,PR,AROLDO MARTINS,JOSE AROLDO SOUZA MARTINS,1a ELEIÇÃO,MASCULINO,BRANCA,661385.0800000001,52572,36,30,1,0,ELEITO POR QP
PV,CE,CELIO STUDART,CELIO STUDART BARBOSA,1a ELEIÇÃO,MASCULINO,PARDA,738088.01,208854,2,22,1,1,ELEITO POR QP
PSOL,SP,IVAN VALENTE,IVAN VALENTE,REELEITO,MASCULINO,BRANCA,586837.81,155334,17,70,1,1,ELEITO POR QP
PSDB,SP,VITOR LIPPI,VITOR LIPPI,REELEITO,MASCULINO,BRANCA,1077228.0,120529,29,70,1,1,ELEITO POR QP
PSD,BA,ANTONIO BRITO,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,REELEITO,MASCULINO,PRETA,1023420.8,127716,8,39,1,1,ELEITO POR QP
PSB,PI,ÁTILA LIRA,ÁTILA FREITAS LIRA,REELEITO,MASCULINO,BRANCA,1390743.35,54095,14,10,1,0,ELEITO POR MÉDIA
PTB,PA,EDUARDO COSTA,JOSE EDUARDO PEREIRA DA COSTA,1a ELEIÇÃO,MASCULINO,BRANCA,253758.05,75346,18,17,1,0,ELEITO POR MÉDIA
PCdoB,MA,RUBENS JUNIOR,RUBENS PEREIRA E SILVA JUNIOR,REELEITO,MASCULINO,BRANCA,943629.2,111584,5,18,1,1,ELEITO POR QP
PT,SP,ALEXANDRE PADILHA,ALEXANDRE ROCHA SANTOS PADILHA,1a ELEIÇÃO,MASCULINO,BRANCA,1036531.23,87576,50,70,1,1,ELEITO POR QP
PPL,BA,ULDÚRICO JÚNIOR,ULDURICO ALENCAR PINTO,REELEITO,MASCULINO,PARDA,237725.9,66343,38,39,1,1,ELEITO POR QP
DEM,BA,LEUR LOMANTO JR,LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,1a ELEIÇÃO,MASCULINO,PARDA,738859.99,82110,32,39,1,1,ELEITO POR MÉDIA
Podemos,SP,PASTOR MARCO FELICIANO,MARCO ANTONIO FELICIANO,REELEITO,MASCULINO,BRANCA,1289772.55,239784,10,70,1,1,ELEITO POR QP
PT,BA,PELEGRINO,NELSON VICENTE PORTELA PELLEGRINO,REELEITO,MASCULINO,PARDA,1017133.55,101476,23,39,1,1,ELEITO POR QP
PL,SP,PAULO FREIRE COSTA,PAULO ROBERTO FREIRE DA COSTA,REELEITO,MASCULINO,BRANCA,2094265.71,109461,35,70,1,1,ELEITO POR QP
MDB,AL,ISNALDO BULHÕES,ISNALDO BULHÕES BARROS JUNIOR,1a ELEIÇÃO,MASCULINO,BRANCA,994073.7200000002,71847,6,9,1,1,ELEITO POR QP
Progressistas,RJ,JULIO LOPES,JULIO LUIZ BAPTISTA LOPES,REELEITO,MASCULINO,BRANCA,2430885.54,40831,41,46,0,1,SUPLENTE
PSDB,SP,EDUARDO CURY,EDUARDO PEDROSA CURY,REELEITO,MASCULINO,BRANCA,842250.0,94282,45,70,1,1,ELEITO POR MÉDIA
PSD,RO,EXPEDITO NETTO,EXPEDITO GONÇALVES FERREIRA NETTO,REELEITO,MASCULINO,PARDA,791089.05,39953,2,8,1,1,ELEITO POR QP
Cidadania,SP,ALEX MANENTE,ALEX SPINELLI MANENTE,REELEITO,MASCULINO,BRANCA,1370803.11,127366,24,70,1,1,ELEITO POR QP
PSB,PE,JOÃO CAMPOS,JOÃO HENRIQUE DE ANDRADE LIMA CAMPOS,1a ELEIÇÃO,MASCULINO,BRANCA,1791583.1,460387,1,25,1,1,ELEITO POR QP
